24880481,9 9 A A A,0,760
19918169,8 8 A A A,0,784
11647649,7 7 A A A,0,808
8339441,6 6 A A A,0,832
3377129,5 5 A A A,0,856
1723025,4 4 A A A,0,880
620289,3 3 A A A,0,904
275684,2 2 A A A,0,928
85147693,A A K K K,0,952
48677533,K K K Q Q,0,976
42599173,J J K K K,0,1000
26795437,K K K T T,0,1024
18285733,9 9 K K K,0,1048
14638717,8 8 K K K,0,1072
8560357,7 7 K K K,0,1096
6129013,6 6 K K K,0,1120
2481997,5 5 K K K,0,1144
1266325,4 4 K K K,0,1168
455877,3 3 K K K,0,1192
202612,2 2 K K K,0,1216
50078671,A A Q Q Q,0,1240
40783879,K K Q Q Q,0,1264
25054231,J J Q Q Q,0,1288
15759439,Q Q Q T T,0,1312
10754551,9 9 Q Q Q,0,1336
8609599,8 8 Q Q Q,0,1360
5034679,7 7 Q Q Q,0,1384
3604711,6 6 Q Q Q,0,1408
1459759,5 5 Q Q Q,0,1432
744775,4 4 Q Q Q,0,1456
268119,3 3 Q Q Q,0,1480
119164,2 2 Q Q Q,0,1504
40997909,A A J J J,0,1528
33388541,J J J K K,0,1552
23437829,J J J Q Q,0,1576
12901781,J J J T T,0,1600
8804429,9 9 J J J,0,1624
7048421,8 8 J J J,0,1648
4121741,7 7 J J J,0,1672
2951069,6 6 J J J,0,1696
1195061,5 5 J J J,0,1720
609725,4 4 J J J,0,1744
219501,3 3 J J J,0,1768
97556,2 2 J J J,0,1792
20452727,A A T T T,0,1816
16656623,K K T T T,0,1840
11692487,Q Q T T T,0,1864
10232447,J J T T T,0,1888
4392287,9 9 T T T,0,1912
3516263,8 8 T T T,0,1936
2056223,7 7 T T T,0,1960
1472207,6 6 T T T,0,1984
596183,5 5 T T T,0,2008
304175,4 4 T T T,0,2032
109503,3 3 T T T,0,2056
48668,2 2 T T T,0,2080
11529979,9 9 9 A A,0,2104
9389971,9 9 9 K K,0,2128
6591499,9 9 9 Q Q,0,2152
5768419,9 9 9 J J,0,2176
3628411,9 9 9 T T,0,2200
1982251,8 8 9 9 9,0,2224
1159171,7 7 9 9 9,0,2248
829939,6 6 9 9 9,0,2272
336091,5 5 9 9 9,0,2296
171475,4 4 9 9 9,0,2320
61731,3 3 9 9 9,0,2344
27436,2 2 9 9 9,0,2368
8258753,8 8 8 A A,0,2392
6725897,8 8 8 K K,0,2416
4721393,8 8 8 Q Q,0,2440
4131833,8 8 8 J J,0,2464
2598977,8 8 8 T T,0,2488
1773593,8 8 8 9 9,0,2512
830297,7 7 8 8 8,0,2536
594473,6 6 8 8 8,0,2560
240737,5 5 8 8 8,0,2584
122825,4 4 8 8 8,0,2608
44217,3 3 8 8 8,0,2632
19652,2 2 8 8 8,0,2656
3693157,7 7 7 A A,0,2680
3007693,7 7 7 K K,0,2704
2111317,7 7 7 Q Q,0,2728
1847677,7 7 7 J J,0,2752
1162213,7 7 7 T T,0,2776
793117,7 7 7 9 9,0,2800
634933,7 7 7 8 8,0,2824
265837,6 6 7 7 7,0,2848
107653,5 5 7 7 7,0,2872
54925,4 4 7 7 7,0,2896
19773,3 3 7 7 7,0,2920
8788,2 2 7 7 7,0,2944
2237411,6 6 6 A A,0,2968
1822139,6 6 6 K K,0,2992
1279091,6 6 6 Q Q,0,3016
1119371,6 6 6 J J,0,3040
704099,6 6 6 T T,0,3064
480491,6 6 6 9 9,0,3088
384659,6 6 6 8 8,0,3112
224939,6 6 6 7 7,0,3136
65219,5 5 6 6 6,0,3160
33275,4 4 6 6 6,0,3184
11979,3 3 6 6 6,0,3208
5324,2 2 6 6 6,0,3232
576583,5 5 5 A A,0,3256
469567,5 5 5 K K,0,3280
329623,5 5 5 Q Q,0,3304
288463,5 5 5 J J,0,3328
181447,5 5 5 T T,0,3352
123823,5 5 5 9 9,0,3376
99127,5 5 5 8 8,0,3400
57967,5 5 5 7 7,0,3424
41503,5 5 5 6 6,0,3448
